Category,Product Name,Brand,Type,Imp_category
Food & Groceries,Mak Spaghetti,MAK,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Modilla Spaghetti,Madilla,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Calve Mayonnaise,Calve,Mayonnaise,"Animal or vegetable fats and oils and fractions, hydrogenated, etc"
Food & Groceries,Laziz Mayonnaise,Laziz,Mayonnaise,"Animal or vegetable fats and oils and fractions, hydrogenated, etc"
Food & Groceries,Kalleh Tomato Ketchup,Kalleh,Ketchup,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Kalleh Mayonnaise,Kalleh,Mayonnaise,"Animal or vegetable fats and oils and fractions, hydrogenated, etc"
Food & Groceries,Ginny Mayonnaise,Ginny,Mayonnaise,"Animal or vegetable fats and oils and fractions, hydrogenated, etc"
Food & Groceries,Oba Spaghetti,Rodilla,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,St Louis Sugar,St Louis,Sugar,"Sugar confectionery (incl. white chocolate), not containing cocoa"
Food & Groceries,St Louis Sugar,St Louis,Sugar,"Sugar confectionery (incl. white chocolate), not containing cocoa"
Food & Groceries,La Vonce Tomato Mix,La Vonce,Mix,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Tasty Tom Tomato Paste,Tasty Tom,Paste,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Tipa Tomato Mix,Tipa,Mix,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Sunny Sunflower Oil ,Sunny,Oil,Ground-nut oil and its fractions
Food & Groceries,Sunny Veg. Oil,Sunny,Oil,Ground-nut oil and its fractions
Food & Groceries,Queen Veg. Oil ,Queen,Oil,Ground-nut oil and its fractions
Food & Groceries,King Sunflower Oil,King,Oil,Ground-nut oil and its fractions
Food & Groceries,Allegro Veg. Oil,Allegro,Oil,Ground-nut oil and its fractions
Food & Groceries,Alimo Veg. Oil,Alimo,Oil,Ground-nut oil and its fractions
Food & Groceries,Plat. Sunflower Oil,Platinum,Oil,Ground-nut oil and its fractions
Food & Groceries,Oba Sunflower Oil,Oba,Oil,Ground-nut oil and its fractions
Food & Groceries,Atlantic Veg. Oil,Atlantic,Oil,Ground-nut oil and its fractions
Food & Groceries,Nana Rice,Nana,Rice,Rice
Food & Groceries,Platinum Jasmine Rice,Platinum,Rice,Rice
Food & Groceries,Yaa Babie Rice,Yaa Babie,Rice,Rice
Food & Groceries,Nana'S Rice ,Nana,Rice,Rice
Household supplies,Key Bar Soap,Key,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Oly L Soap,Oly,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Oly Laundry,Oly,Detergent,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Juliet Beauty Soap,Juliet,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Juliet Beauty Soap,Juliet,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Saba Mp Soap,Saba,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Saba Fruity Soap,Saba,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Juliet Beauty Soap (Rose),Juliet,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Dental Care,Pepsodent Toothpaste,Pepsodent,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Dental Care,Close Up Da Red,Close up,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Dental Care,Close Up Methol Fresh,Close up,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Dental Care,Close Up Complete Fresh,Close up,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Dental Care,Close Up Mouthwash Cool,Close up,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Dental Care,Pepsodent Charcoal Lemon,Pepsodent,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Jamaa Powder Detergent,Jamaa,Detergent,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Easy Detergent Powder,Easy,Powder,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Eazzy Detergent Powder,Easy,Powder,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Jamaa Powder Detergent,Jamaa,Detergent,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Saba Powder Detergent,Saba,Detergent,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Saba Powder Bucket Lemon,Saba,Detergent,"Non-soap surface-active agents; washing preparations, nes"
Food & Groceries,Blue Band Marg. Orig,Blue Band,Margarine,"Margarine; edible preparations of animal or vegetable fats or oils, nes"
Food & Groceries,Blue Band Spread,Blue Band,Margarine,"Margarine; edible preparations of animal or vegetable fats or oils, nes"
Household supplies,Jamaa Classic Soap Laminated,Jamaa,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Jamaa White Soap Laminated,Jamaa,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Jamaa White Soap Laminated,Jamaa,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Jamaa Combo CLC 18 White,Jamaa,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Alife Toilet Soap,Jamaa,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Eazzy Laundary Soap,Eazzy,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Jamaa Detergent Powder,Jamaa,Powder,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Jamaa Detergent Powder,Jamaa,Powder,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Jamaa Detergent Powder,Jamaa,Powder,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Jamaa Detergent Powder In Bucket,Jamaa,Detergent,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Jamaa Detergent Powder In Pillow Pack,Jamaa,Detergent,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Eazzy Detergent Powder,Eazzy,Powder,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Eazzy Detergent Powder In Bucket,Eazzy,Detergent,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Eazzy Detergent Powder,Eazzy,Powder,"Non-soap surface-active agents; washing preparations, nes"
Food & Groceries,Golden Drop Veg. Oil,Golden Drop,Oil,Ground-nut oil and its fractions
Food & Groceries,Alhamza Veg. Oil,Alhamza,Oil,Ground-nut oil and its fractions
Food & Groceries,Lafia Veg.Oil,Lafia,Oil,Ground-nut oil and its fractions
Food & Groceries,Royal Farmers Everyday,Royal Farmers,Rice,Rice
Food & Groceries,Royal Farmers Select,Royal Farmers,Rice,Rice
Food & Groceries,Royal Farmers Predium,Royal Farmers,Rice,Rice
Food & Groceries,Hayat Veg. Oil (PET),Hayat,Oil,Ground-nut oil and its fractions
Food & Groceries,Hayat Veg. Oil (Pouch),Hayat,Oil,Ground-nut oil and its fractions
Food & Groceries,Hayat Veg. Oil (JC),Hayat,Oil,Ground-nut oil and its fractions
Food & Groceries,Sunny Sunflower Oil (PET),Sunny,Oil,Ground-nut oil and its fractions
Food & Groceries,Maha Veg. Oil,Maha,Oil,Ground-nut oil and its fractions
Food & Groceries,Daphnis Sunflower Oil 1.8L,Daphnis,Oil,Ground-nut oil and its fractions
Food & Groceries,Daphnis Sunflower Oil 5L,Daphnis,Oil,Ground-nut oil and its fractions
Food & Groceries,Daphnis Sunflower Oil 1L,Daphnis,Oil,Ground-nut oil and its fractions
Household supplies,Key Soap,Key,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Key Adepa,Key,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Lifebuoy Carbolic,Lifebuoy,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Lux Wake Me Up,Lux,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Lifebuoy Herbal,Lifebuoy,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Sunlight D/W,Sunlight,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Sunlight D/W 1,Sunlight,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Sunlight Powder,Sunlight,Powder,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Pepsodent Cavity Fighter,Pepsodent,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Pepsodent Comlete Large,Pepsodent,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,PepsodentCf Aladn Sachet,PepsodentCf,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Pepsodent Medium,Pepsodent,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Pepsodent Cf+Easy Clean Tb,Pepsodent,Toothbrush,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Pepsodent Charcoal Lemon,Pepsodent,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Pepsodent Herbal,Pepsodent,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Pepsodent Junior,Pepsodent,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Pepsodent (Triple Protection),Pepsodent,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Pepsodent Easy Clean,Pepsodent,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Close Up Comp Fresh,Close Up,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Close Up Gaga,Close Up,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Close Up Everfresh Redhot,Close Up,Toothpaste,Preparations for oral or dental hygiene (incl. denture fixative)
Household supplies,Vaseline Cocoa Glow,Vaseline,Vaseline,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations"
Household supplies,Vaseline Original,Vaseline,Vaseline,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations"
Food & Groceries,Diora Jasmine Rice,Diora,Rice,Rice
Food & Groceries,Diora Veg. Oil,Diora,Oil,Ground-nut oil and its fractions
Food & Groceries,Diora Vegetable Oil,Diora,Oil,Ground-nut oil and its fractions
Food & Groceries,Kwabena Viet Rice,Kwabena,Rice,Rice
Food & Groceries,Tasty Tom Enriched Tomato Mix ,Tasty Tom,Mix,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Tasty Tom Jollof Mix,Tasty Tom,Mix,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Vera Sunflower Oil,Vera,Oil,Ground-nut oil and its fractions
Food & Groceries,Diora Pure Vegetable Oil,Diora,Oil,Ground-nut oil and its fractions
Food & Groceries,Diora Pure Veg. Oil JC,Diora,Oil,Ground-nut oil and its fractions
Food & Groceries,Happy Family Ghana'S Rice 5% Broken,Happy Family,Rice,Rice
Food & Groceries,Royal Jumbo Jasmine Long Grain,Royal,Rice,Rice
Food & Groceries,Blue Band Spread,Blue Band,Margarine,"Margarine; edible preparations of animal or vegetable fats or oils, nes"
Food & Groceries,Abena Evaporated Milk,Abena,Milk,"Milk and cream, concentrated or sweetened"
Food & Groceries,Abena Non Diary Creamer ,Abena,Milk,"Milk and cream, concentrated or sweetened"
Food & Groceries,Abena Spaghetti ,Abena,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Abena Viet Rice,Abena,Rice,Rice
Food & Groceries,Alimo Veg. Oil,Alimo,Oil,Ground-nut oil and its fractions
Food & Groceries,Alimo Rice ,Alimo,Rice,Rice
Food & Groceries,Cindy Jasmine Rice ,Cindy,Rice,Rice
Food & Groceries,Cindy Sardine,Cindy,Sardine,"Fats and oils and their fractions, of fish or marine mammals"
Food & Groceries,Cindy Spaghetti,Cindy,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Cindy Sunflower oil,Cindy,oil,Ground-nut oil and its fractions
Personal Care,Dettol Bath Soap Cool,Dettol,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Personal Care,Dettol Bath Soap Even Tone,Dettol,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Personal Care,Dettol Bath Soap Original,Dettol,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Personal Care,Dettol Bath Soap Skin Care ,Dettol,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Personal Care,Dettol Liquid ,Dettol,Antiseptic,"Non-soap surface-active agents; washing preparations, nes"
Personal Care,Dettol Soap Cool ,Dettol,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Personal Care,Dettol Soap Even Tone ,Dettol,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Personal Care,Dettol Soap Original,Dettol,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Food & Groceries,Enapa Mackerel E/O,Enapa,Mackerel,"Fats and oils and their fractions, of fish or marine mammals"
Food & Groceries,Enapa Mackerel H/O,Enapa,Mackerel,"Fats and oils and their fractions, of fish or marine mammals"
Food & Groceries,Enapa Sardine,Enapa,Sardine,"Fats and oils and their fractions, of fish or marine mammals"
Food & Groceries,Enapa Spaghetti,Enapa,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Ideal Balance Evp Milk,Ideal,Milk,"Milk and cream, concentrated or sweetened"
Food & Groceries,Ideal Creamylicious Evp Milk,Ideal,Milk,"Milk and cream, concentrated or sweetened"
Food & Groceries,Ideal Dairy Delight,Ideal,Milk,"Milk and cream, concentrated or sweetened"
Food & Groceries,Ideal Original,Ideal,Milk,"Milk and cream, concentrated or sweetened"
Food & Groceries,Ideal Original,Ideal,Milk,"Milk and cream, concentrated or sweetened"
Food & Groceries,Ideal Original Evp Milk,Ideal,Milk,"Milk and cream, concentrated or sweetened"
Food & Groceries,Ideal Value Evap Milk Litho Gh,Ideal,Milk,"Milk and cream, concentrated or sweetened"
