Category,Product Name,Brand,Type,Imp_category
Household supplies,Kleesoft Powder,Kleesoft,Powder,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Kleesoft Powder,Kleesoft,Powder,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Kleesoft Soap,Kleesoft,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Food & Groceries,Oba Baked Beans,Oba,Beans,"Buckwheat, millet and canary seed and other cereals, nes"
Food & Groceries,Oba Mackerel,Oba,Mackerel,"Fats and oils and their fractions, of fish or marine mammals"
Food & Groceries,Oba Rice,Oba,Rice,Rice
Food & Groceries,Oba Rice Viet,Oba,Rice,Rice
Food & Groceries,Oba Rice Viet,Oba,Rice,Rice
Food & Groceries,Oba Spaghetti,Oba,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Oba Viet Gold Rice,Oba,Rice,Rice
Food & Groceries,Obaapa Jasmine Rice,Obaapa,Rice,Rice
Food & Groceries,Obaapa Oil,Obaapa,Oil,Ground-nut oil and its fractions
Food & Groceries,Obaapa Spaghetti,Obaapa,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,White Sugar,Lele,Sugar,"Sugar confectionery (incl. white chocolate), not containing cocoa"
Food & Groceries,Usina Sugar,Usina,Sugar,"Sugar confectionery (incl. white chocolate), not containing cocoa"
Food & Groceries,Lele White Sugar,Lele,Sugar,"Sugar confectionery (incl. white chocolate), not containing cocoa"
Food & Groceries,Lele White Cube Sugar,Lele,Sugar,"Sugar confectionery (incl. white chocolate), not containing cocoa"
Food & Groceries,Lele Brown Cube Sugar,Lele,Sugar,"Sugar confectionery (incl. white chocolate), not containing cocoa"
Food & Groceries,Cindy Viet Rice,Cindy,Rice,Rice
Food & Groceries,Cindy Viet Rice,Cindy,Rice,Rice
Food & Groceries,Millicent Viet Rice,Millicent,Rice,Rice
Food & Groceries,Millicent Viet Rice,Millicent,Rice,Rice
Food & Groceries,Abena Viet Rice,Abena,Rice,Rice
Food & Groceries,Pragya (Platinum) Rice,Pragya,Rice,Rice
Food & Groceries,Pragya (Platinum) Rice,Pragya,Rice,Rice
Food & Groceries,Pragya (Platinum) Rice,Pragya,Rice,Rice
Food & Groceries,Mame Esi Rice,Mame Esi,Rice,Rice
Food & Groceries,Lele Rice,Lele,Rice,Rice
Food & Groceries,Ghana Man Rice,Ghana Man Rice,Rice,Rice
Food & Groceries,Lele Vegetable Oil,Lele,Oil,Ground-nut oil and its fractions
Food & Groceries,Oliva Palm Oil 25L,Oliva,Oil,Ground-nut oil and its fractions
Food & Groceries,Lele Sunflower Oil,Lele,Oil,Ground-nut oil and its fractions
Food & Groceries,Cindy Sunflower,Cindy,Oil,Ground-nut oil and its fractions
Food & Groceries,Lele Spaghetti,Lele,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Cindy Spaghetti,Cindy,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Cindy Spaghetti,Cindy,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Tasty Tom Tomato Mix,Tasty Tom,Mix,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Tasty Tom Tomato Mix,Tasty Tom,Mix,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Lavonce Tomato Mix,La vonce,Mix,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Lavonce Tomato Mix,La vonce,Mix,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Hondi Tomato Mix,Hondi,Mix,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Tam Tam Tomato Mix,Tam Tam,Mix,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Household supplies,Saba Power Detergent,Saba,Detergent,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Saba Enzymo Detergent,Saba,Detergent,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,Oleo Washing Powder,Oleo,Powder,"Non-soap surface-active agents; washing preparations, nes"
Household supplies,SABA Multipurpose Soap (Big),Saba,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,SABA Multipurpose Soap (Fruity Grape),Saba,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,SABA Multipurpose Soap (Fruity Orange),Saba,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,SABA Multipurpose Soap (Fruity Strawbery),Saba,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,SABA Multipurpose Soap (Fruity Green Apple),Saba,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Juliet Beauty Green,Juliet,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Juliet Beauty Yellow,Juliet,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Juliet Beauty Rose,Juliet,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Juliet Elegance (Yellow),Juliet,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Juliet Elegance (Silver),Juliet,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Juliet Elegance (Blue),Juliet,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Juliet Elegance (Red),Juliet,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Meditwist (Red),Meditwist,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Meditwist (Blue),Meditwist,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Meditwist (Green),Meditwist,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,SABA Multipurpose Liquid,Saba,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Food & Groceries,Avena Veg. Oil,Avena,Oil,Ground-nut oil and its fractions
Food & Groceries,Madina Veg. Oil,Madina,Oil,Ground-nut oil and its fractions
Food & Groceries,Okey Veg. Oil,Okey,Oil,Ground-nut oil and its fractions
Food & Groceries,Oba Spaghetti ,Oba,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Dubai Rice,Dubai,Rice,Rice
Food & Groceries,Channel Rice,Chanel,Rice,Rice
Food & Groceries,Oba Rice,Oba,Rice,Rice
Food & Groceries,Frytol Vegetable Oil,Frytol,Oil,Ground-nut oil and its fractions
Food & Groceries,Frytol Vegetable oil,Frytol,oil,Ground-nut oil and its fractions
Food & Groceries,Frytol Vegetable oil,Frytol,oil,Ground-nut oil and its fractions
Food & Groceries,Frytol Vegetable oil,Frytol,oil,Ground-nut oil and its fractions
Food & Groceries,Sara vegetable oil,Sara,oil,Ground-nut oil and its fractions
Food & Groceries,Sunny Sunflower Oil,Sunny,Oil,Ground-nut oil and its fractions
Food & Groceries,Sunny Sunflower Oil,Sunny,Oil,Ground-nut oil and its fractions
Food & Groceries,Channel Rice,Channel,Rice,Rice
Food & Groceries,Fortune Rice,Fortune,Rice,Rice
Food & Groceries,Royal Aroma,Royal,Rice,Rice
Food & Groceries,Peacock Rice,Peacock,Rice,Rice
Food & Groceries,Oba Rice,Oba,Rice,Rice
Food & Groceries,Maame Esi,Maame,,Unknown
Food & Groceries,Cindy Rice,Cindy,Rice,Rice
Food & Groceries,Abena Rice,Abena,Rice,Rice
Food & Groceries,Nadia Rice,Nadia,Rice,Rice
Food & Groceries,Zoye Rice,Zoye,Rice,Rice
Food & Groceries,Channel Rice,Channel,Rice,Rice
Food & Groceries,Royal Farmers Rice Select,Royal,Rice,Rice
Food & Groceries,Oba Spaghetti,Oba,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Mutlu Spaghetti,Mutlu,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Golden Drop Veg. Oil,Golden Drop,Oil,Ground-nut oil and its fractions
Food & Groceries,Golden Drop Veg. Oil,Golden Drop,Oil,Ground-nut oil and its fractions
Food & Groceries,Alhamza Veg. Oil,Alhamza,Oil,Ground-nut oil and its fractions
Food & Groceries,Lafia Veg.Oil,Lafia,Oil,Ground-nut oil and its fractions
Food & Groceries,Royal Farmers Select,Royal Farmers,Rice,Rice
Food & Groceries,Hayat Veg. Oil (PET),Hayat,Oil,Ground-nut oil and its fractions
Food & Groceries,Hayat Veg. Oil (PET),Hayat,Oil,Ground-nut oil and its fractions
Food & Groceries,Hayat Veg. Oil (JC),Hayat,Oil,Ground-nut oil and its fractions
Food & Groceries,Sunny Sunflower Oil (PET),Sunny,Oil,Ground-nut oil and its fractions
Food & Groceries,Sunny Sunflower Oil (PET),Sunny,Oil,Ground-nut oil and its fractions
Food & Groceries,Maha Veg. Oil,Maha,Oil,Ground-nut oil and its fractions
Food & Groceries,Vera Sunflower Oil,Vera,Oil,Ground-nut oil and its fractions
Food & Groceries,Diora Pure Vegetable Oil,Diora,Oil,Ground-nut oil and its fractions
Food & Groceries,Diora Pure Veg. Oil JC,Diora,Oil,Ground-nut oil and its fractions
Food & Groceries,Happy Family Ghana'S Rice 5% Broken,Happy Family,Rice,Rice
Food & Groceries,Royal Jumbo Jasmine Long Grain,Royal,Rice,Rice
Food & Groceries,Usina Sugar,Usina,Sugar,"Sugar confectionery (incl. white chocolate), not containing cocoa"
Food & Groceries,Lele White Sugar,Lele,Sugar,"Sugar confectionery (incl. white chocolate), not containing cocoa"
Food & Groceries,Ghana Man Rice,Ghana Man Rice,Rice,Rice
Food & Groceries,Lele Vegetable Oil,Lele,Oil,Ground-nut oil and its fractions
Food & Groceries,Oliva Palm Oil 25L,Oliva,Oil,Ground-nut oil and its fractions
Food & Groceries,Cindy Spaghetti,Cindy,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Abena Spaghetti,Abena,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Abena Spaghetti,Abena,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Oba Spaghetti,Oba,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Household supplies,Obolo Kente,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Kente (shrink),Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Pure Banana,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Pure Lemon,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Pure Rose,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Pure Banana,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Pure Lemon,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Pure Rose,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Laundry Soap,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Bar,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Jumbo Mini,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Jumbo White,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Jumbo White Max,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo Mini White,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Household supplies,Obolo White,Obolo,Soap,"Soap; organic surface-active products in bars, etc; paper with soap,etc"
Food & Groceries,Madilla Spaghetti,Madilla,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Top Saho Veg. Oil,Top Saho,Oil,Ground-nut oil and its fractions
Food & Groceries,Serina Spaghetti,Serina,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Ocean Sardine ,Ocean,Sardine,"Fats and oils and their fractions, of fish or marine mammals"
Food & Groceries,Nana Sardine ,Nana,Sardine,"Fats and oils and their fractions, of fish or marine mammals"
Food & Groceries,Nana Mackerel,Nana,Mackerel,"Fats and oils and their fractions, of fish or marine mammals"
Food & Groceries,Ayekoo Sardine ,Ayeeko,Sardine,"Fats and oils and their fractions, of fish or marine mammals"
Food & Groceries,Oye Sardine ,Oye,Sardine,"Fats and oils and their fractions, of fish or marine mammals"
Food & Groceries,Nana Spaghetti ,Nana,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Dynasty Viet Rice,Dynasty,Rice,Rice
Food & Groceries,Fortune all purpose Margarine,Fortune,Margarine,"Margarine; edible preparations of animal or vegetable fats or oils, nes"
Food & Groceries,Sunshine rice ,Sunshine,Rice,Rice
Food & Groceries,Ellan Mayonnaise,Ellan,Mayonnaise,"Animal or vegetable fats and oils and fractions, hydrogenated, etc"
Food & Groceries,Ellan Ketchup,Ellan,Ketchup,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Ellan Mayonnaise,Ellan,Mayonnaise,"Animal or vegetable fats and oils and fractions, hydrogenated, etc"
Food & Groceries,Jomor Rice,Jomor,Rice,Rice
Food & Groceries,La Vonce Tomato Paste,La vonce,Paste,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Hondi Tomato Paste,Hondi,Paste,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
Food & Groceries,Tam Tam spagehtti ,Tam Tam,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Miss Africa Refined Salt,Miss Africa,Salt,Salt and pure sodium chloride; sea water
Food & Groceries,Everest Jasmine Rice,Everest,Rice,Rice
Food & Groceries,Everest Thai Hom Mali,Everest,Rice,Rice
Food & Groceries,Everest Thai Gold 50kg (LG),Everest,Rice,Rice
Food & Groceries,Soleil Spaghetti  ,Soleil,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Santa Lucia Spaghetti,Santa Lucia,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Jenisse Rice (LG),Jenisse,Rice,Rice
Food & Groceries,Zoey Spaghetti ,Zoey,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
Food & Groceries,Jomor Parboiled Rice,Jomor,Rice,Rice
Food & Groceries,Kadi Bouillon Spice,KADI,Spice,"Ginger, saffron, turmeric (curcuma)...curry and other spices"
Food & Groceries,Alvita Spaghetti,Alvita,Spaghetti,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous"
