,date,Month,HS4,Description_HS4,volume,value_USD,prev_value_USD,value_MoM_pct_change,holiday,weather_season,tourism_event_count,back_to_school
167,2022-04-01,April,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",35,11661450.38,15197234.41,-0.23,1,Major Rainy Season,1,0
168,2022-05-01,May,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",33,7032808.46,11661450.38,-0.4,1,Major Rainy Season,1,1
169,2022-06-01,June,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",32,17750746.2,7032808.46,1.52,1,Major Rainy Season,0,0
170,2022-07-01,July,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",30,3334015.3099999996,17750746.2,-0.81,0,Major Rainy Season,0,0
171,2022-08-01,August,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",38,18026379.7,3334015.3099999996,4.41,1,Major Rainy Season,0,0
172,2022-09-01,September,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",32,14528051.459999999,18026379.7,-0.19,1,Minor Rainy Season,8,1
173,2022-10-01,October,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",35,14538318.0,14528051.459999999,0.0,0,Minor Rainy Season,0,0
174,2022-11-01,November,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",33,5277160.46,14538318.0,-0.64,0,Minor Rainy Season,0,0
175,2022-12-01,December,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",40,7194457.35,5277160.46,0.36,1,Harmattan (Dry),9,0
176,2022-01-01,January,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,20,1169588.81,853362.25,0.37,1,Harmattan (Dry),0,1
177,2022-02-01,February,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,18,1347256.95,1169588.81,0.15,0,Harmattan (Dry),1,0
178,2022-03-01,March,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,24,2747963.87,1347256.95,1.04,1,Hot/Dry Season,3,0
179,2022-04-01,April,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,20,2057481.3900000001,2747963.87,-0.25,1,Major Rainy Season,1,0
180,2022-05-01,May,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,18,2329706.9699999997,2057481.3900000001,0.13,1,Major Rainy Season,1,1
181,2022-06-01,June,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,23,2594038.1900000004,2329706.9699999997,0.11,1,Major Rainy Season,0,0
182,2022-07-01,July,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,23,2792485.32,2594038.1900000004,0.08,0,Major Rainy Season,0,0
183,2022-08-01,August,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,23,1803619.82,2792485.32,-0.35,1,Major Rainy Season,0,0
184,2022-09-01,September,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,26,654754.04,1803619.82,-0.64,1,Minor Rainy Season,8,1
185,2022-10-01,October,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,15,779644.39,654754.04,0.19,0,Minor Rainy Season,0,0
186,2022-11-01,November,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,17,547436.25,779644.39,-0.3,0,Minor Rainy Season,0,0
187,2022-12-01,December,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,16,853362.25,547436.25,0.56,1,Harmattan (Dry),9,0
188,2022-01-01,January,1703,Molasses resulting from the extraction or refining of sugar,1,479.48,9984.17,-0.95,1,Harmattan (Dry),0,1
189,2022-02-01,February,1703,Molasses resulting from the extraction or refining of sugar,3,856.25,479.48,0.79,0,Harmattan (Dry),1,0
190,2022-03-01,March,1703,Molasses resulting from the extraction or refining of sugar,2,541.16,856.25,-0.37,1,Hot/Dry Season,3,0
191,2022-04-01,April,1703,Molasses resulting from the extraction or refining of sugar,2,609.52,541.16,0.13,1,Major Rainy Season,1,0
192,2022-06-01,June,1703,Molasses resulting from the extraction or refining of sugar,2,995.06,609.52,0.63,1,Major Rainy Season,0,0
193,2022-08-01,August,1703,Molasses resulting from the extraction or refining of sugar,1,115.25,995.06,-0.88,1,Major Rainy Season,0,0
194,2022-09-01,September,1703,Molasses resulting from the extraction or refining of sugar,1,1074.73,115.25,8.33,1,Minor Rainy Season,8,1
195,2022-11-01,November,1703,Molasses resulting from the extraction or refining of sugar,3,142.14000000000001,1074.73,-0.87,0,Minor Rainy Season,0,0
196,2022-12-01,December,1703,Molasses resulting from the extraction or refining of sugar,3,9984.17,142.14000000000001,69.24,1,Harmattan (Dry),9,0
197,2022-01-01,January,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",31,1418313.9400000002,1696823.5999999999,-0.16,1,Harmattan (Dry),0,1
198,2022-02-01,February,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",33,1233204.1099999999,1418313.9400000002,-0.13,0,Harmattan (Dry),1,0
199,2022-03-01,March,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",35,1289001.76,1233204.1099999999,0.05,1,Hot/Dry Season,3,0
200,2022-04-01,April,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",31,1110681.2,1289001.76,-0.14,1,Major Rainy Season,1,0
201,2022-05-01,May,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",32,914025.9,1110681.2,-0.18,1,Major Rainy Season,1,1
202,2022-06-01,June,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",34,1297388.95,914025.9,0.42,1,Major Rainy Season,0,0
203,2022-07-01,July,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",29,911188.37,1297388.95,-0.3,0,Major Rainy Season,0,0
204,2022-08-01,August,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",37,1581324.18,911188.37,0.74,1,Major Rainy Season,0,0
205,2022-09-01,September,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",31,1436371.9,1581324.18,-0.09,1,Minor Rainy Season,8,1
206,2022-10-01,October,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",32,1383190.68,1436371.9,-0.04,0,Minor Rainy Season,0,0
207,2022-11-01,November,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",42,1905329.04,1383190.68,0.38,0,Minor Rainy Season,0,0
208,2022-12-01,December,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",31,1696823.5999999999,1905329.04,-0.11,1,Harmattan (Dry),9,0
209,2022-01-01,January,1805,"Cocoa powder, not containing added sugar or other sweetening matter",7,1786.6299999999999,742.76,1.41,1,Harmattan (Dry),0,1
210,2022-02-01,February,1805,"Cocoa powder, not containing added sugar or other sweetening matter",4,693.89,1786.6299999999999,-0.61,0,Harmattan (Dry),1,0
211,2022-03-01,March,1805,"Cocoa powder, not containing added sugar or other sweetening matter",5,29028.059999999998,693.89,40.83,1,Hot/Dry Season,3,0
212,2022-04-01,April,1805,"Cocoa powder, not containing added sugar or other sweetening matter",3,683.13,29028.059999999998,-0.98,1,Major Rainy Season,1,0
213,2022-05-01,May,1805,"Cocoa powder, not containing added sugar or other sweetening matter",4,577.69,683.13,-0.15,1,Major Rainy Season,1,1
214,2022-06-01,June,1805,"Cocoa powder, not containing added sugar or other sweetening matter",3,128.62,577.69,-0.78,1,Major Rainy Season,0,0
215,2022-07-01,July,1805,"Cocoa powder, not containing added sugar or other sweetening matter",4,1251.23,128.62,8.73,0,Major Rainy Season,0,0
216,2022-08-01,August,1805,"Cocoa powder, not containing added sugar or other sweetening matter",6,62917.840000000004,1251.23,49.28,1,Major Rainy Season,0,0
217,2022-09-01,September,1805,"Cocoa powder, not containing added sugar or other sweetening matter",3,11811.0,62917.840000000004,-0.81,1,Minor Rainy Season,8,1
218,2022-10-01,October,1805,"Cocoa powder, not containing added sugar or other sweetening matter",3,224.05,11811.0,-0.98,0,Minor Rainy Season,0,0
219,2022-11-01,November,1805,"Cocoa powder, not containing added sugar or other sweetening matter",4,7607.69,224.05,32.96,0,Minor Rainy Season,0,0
220,2022-12-01,December,1805,"Cocoa powder, not containing added sugar or other sweetening matter",6,742.76,7607.69,-0.9,1,Harmattan (Dry),9,0
221,2022-01-01,January,1806,Chocolate and other food preparations containing cocoa,63,326938.03,212375.26,0.54,1,Harmattan (Dry),0,1
222,2022-02-01,February,1806,Chocolate and other food preparations containing cocoa,64,267699.59,326938.03,-0.18,0,Harmattan (Dry),1,0
223,2022-03-01,March,1806,Chocolate and other food preparations containing cocoa,53,344978.83,267699.59,0.29,1,Hot/Dry Season,3,0
224,2022-04-01,April,1806,Chocolate and other food preparations containing cocoa,54,496335.38,344978.83,0.44,1,Major Rainy Season,1,0
225,2022-05-01,May,1806,Chocolate and other food preparations containing cocoa,61,356309.52,496335.38,-0.28,1,Major Rainy Season,1,1
226,2022-06-01,June,1806,Chocolate and other food preparations containing cocoa,55,89700.3,356309.52,-0.75,1,Major Rainy Season,0,0
227,2022-07-01,July,1806,Chocolate and other food preparations containing cocoa,62,264214.16,89700.3,1.95,0,Major Rainy Season,0,0
228,2022-08-01,August,1806,Chocolate and other food preparations containing cocoa,54,294135.08,264214.16,0.11,1,Major Rainy Season,0,0
229,2022-09-01,September,1806,Chocolate and other food preparations containing cocoa,70,346401.14999999997,294135.08,0.18,1,Minor Rainy Season,8,1
230,2022-10-01,October,1806,Chocolate and other food preparations containing cocoa,48,390008.64,346401.14999999997,0.13,0,Minor Rainy Season,0,0
231,2022-11-01,November,1806,Chocolate and other food preparations containing cocoa,65,441696.24,390008.64,0.13,0,Minor Rainy Season,0,0
232,2022-12-01,December,1806,Chocolate and other food preparations containing cocoa,53,212375.26,441696.24,-0.52,1,Harmattan (Dry),9,0
233,2022-01-01,January,1902,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous",46,3470613.9,7439781.649999999,-0.53,1,Harmattan (Dry),0,1
234,2022-02-01,February,1902,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous",49,4051595.5300000003,3470613.9,0.17,0,Harmattan (Dry),1,0
235,2022-03-01,March,1902,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous",38,3328649.75,4051595.5300000003,-0.18,1,Hot/Dry Season,3,0
236,2022-04-01,April,1902,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous",44,2144258.1599999997,3328649.75,-0.36,1,Major Rainy Season,1,0
237,2022-05-01,May,1902,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous",43,2295626.19,2144258.1599999997,0.07,1,Major Rainy Season,1,1
238,2022-06-01,June,1902,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous",46,3572020.74,2295626.19,0.56,1,Major Rainy Season,0,0
239,2022-07-01,July,1902,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous",40,2704627.22,3572020.74,-0.24,0,Major Rainy Season,0,0
240,2022-08-01,August,1902,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous",43,3239707.7,2704627.22,0.2,1,Major Rainy Season,0,0
241,2022-09-01,September,1902,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous",40,2626082.87,3239707.7,-0.19,1,Minor Rainy Season,8,1
242,2022-10-01,October,1902,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous",40,1512198.07,2626082.87,-0.42,0,Minor Rainy Season,0,0
243,2022-11-01,November,1902,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous",55,2746646.01,1512198.07,0.82,0,Minor Rainy Season,0,0
244,2022-12-01,December,1902,"Pasta, such as spaghetti, macaroni, noodles, lasagne, etc; couscous",49,7439781.649999999,2746646.01,1.71,1,Harmattan (Dry),9,0
245,2022-01-01,January,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,34,4333877.29,3884465.66,0.12,1,Harmattan (Dry),0,1
246,2022-02-01,February,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,46,4300450.33,4333877.29,-0.01,0,Harmattan (Dry),1,0
247,2022-03-01,March,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,33,4646072.69,4300450.33,0.08,1,Hot/Dry Season,3,0
248,2022-04-01,April,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,32,6182449.279999999,4646072.69,0.33,1,Major Rainy Season,1,0
249,2022-05-01,May,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,40,3657219.3600000003,6182449.279999999,-0.41,1,Major Rainy Season,1,1
250,2022-06-01,June,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,41,4045857.06,3657219.3600000003,0.11,1,Major Rainy Season,0,0
251,2022-07-01,July,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,39,3895215.9000000004,4045857.06,-0.04,0,Major Rainy Season,0,0
252,2022-08-01,August,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,37,1097121.05,3895215.9000000004,-0.72,1,Major Rainy Season,0,0
253,2022-09-01,September,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,32,606743.36,1097121.05,-0.45,1,Minor Rainy Season,8,1
254,2022-10-01,October,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,33,750639.75,606743.36,0.24,0,Minor Rainy Season,0,0
255,2022-11-01,November,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,35,3210391.3400000003,750639.75,3.28,0,Minor Rainy Season,0,0
256,2022-12-01,December,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,40,3884465.66,3210391.3400000003,0.21,1,Harmattan (Dry),9,0
257,2022-01-01,January,2501,Salt and pure sodium chloride; sea water,20,182041.46,4024925.88,-0.95,1,Harmattan (Dry),0,1
258,2022-02-01,February,2501,Salt and pure sodium chloride; sea water,9,45965.07,182041.46,-0.75,0,Harmattan (Dry),1,0
259,2022-03-01,March,2501,Salt and pure sodium chloride; sea water,17,544597.8899999999,45965.07,10.85,1,Hot/Dry Season,3,0
260,2022-04-01,April,2501,Salt and pure sodium chloride; sea water,17,355075.83,544597.8899999999,-0.35,1,Major Rainy Season,1,0
261,2022-05-01,May,2501,Salt and pure sodium chloride; sea water,14,850346.98,355075.83,1.39,1,Major Rainy Season,1,1
262,2022-06-01,June,2501,Salt and pure sodium chloride; sea water,20,463727.16000000003,850346.98,-0.45,1,Major Rainy Season,0,0
263,2022-07-01,July,2501,Salt and pure sodium chloride; sea water,24,964713.2,463727.16000000003,1.08,0,Major Rainy Season,0,0
264,2022-08-01,August,2501,Salt and pure sodium chloride; sea water,24,1090383.61,964713.2,0.13,1,Major Rainy Season,0,0
265,2022-09-01,September,2501,Salt and pure sodium chloride; sea water,21,283987.05,1090383.61,-0.74,1,Minor Rainy Season,8,1
266,2022-10-01,October,2501,Salt and pure sodium chloride; sea water,21,653405.89,283987.05,1.3,0,Minor Rainy Season,0,0
267,2022-11-01,November,2501,Salt and pure sodium chloride; sea water,32,568239.61,653405.89,-0.13,0,Minor Rainy Season,0,0
268,2022-12-01,December,2501,Salt and pure sodium chloride; sea water,24,4024925.88,568239.61,6.08,1,Harmattan (Dry),9,0
269,2022-01-01,January,3304,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations",63,1184753.63,976787.27,0.21,1,Harmattan (Dry),0,1
270,2022-02-01,February,3304,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations",54,1414471.93,1184753.63,0.19,0,Harmattan (Dry),1,0
271,2022-03-01,March,3304,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations",50,1218213.1500000001,1414471.93,-0.14,1,Hot/Dry Season,3,0
272,2022-04-01,April,3304,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations",54,1058049.98,1218213.1500000001,-0.13,1,Major Rainy Season,1,0
273,2022-05-01,May,3304,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations",51,1157851.9,1058049.98,0.09,1,Major Rainy Season,1,1
274,2022-06-01,June,3304,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations",60,992154.74,1157851.9,-0.14,1,Major Rainy Season,0,0
275,2022-07-01,July,3304,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations",53,819963.51,992154.74,-0.17,0,Major Rainy Season,0,0
276,2022-08-01,August,3304,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations",56,909564.37,819963.51,0.11,1,Major Rainy Season,0,0
277,2022-09-01,September,3304,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations",60,767522.18,909564.37,-0.16,1,Minor Rainy Season,8,1
278,2022-10-01,October,3304,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations",75,1214965.22,767522.18,0.58,0,Minor Rainy Season,0,0
279,2022-11-01,November,3304,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations",79,1188999.39,1214965.22,-0.02,0,Minor Rainy Season,0,0
280,2022-12-01,December,3304,"Beauty, make-up, skin-care (incl. suntan), manicure... preparations",47,976787.27,1188999.39,-0.18,1,Harmattan (Dry),9,0
281,2022-01-01,January,3306,Preparations for oral or dental hygiene (incl. denture fixative),28,2970015.54,2368772.19,0.25,1,Harmattan (Dry),0,1
282,2022-02-01,February,3306,Preparations for oral or dental hygiene (incl. denture fixative),28,1986541.25,2970015.54,-0.33,0,Harmattan (Dry),1,0
283,2022-03-01,March,3306,Preparations for oral or dental hygiene (incl. denture fixative),20,1041589.49,1986541.25,-0.48,1,Hot/Dry Season,3,0
284,2022-04-01,April,3306,Preparations for oral or dental hygiene (incl. denture fixative),30,1865116.9000000001,1041589.49,0.79,1,Major Rainy Season,1,0
285,2022-05-01,May,3306,Preparations for oral or dental hygiene (incl. denture fixative),26,2953892.3,1865116.9000000001,0.58,1,Major Rainy Season,1,1
286,2022-06-01,June,3306,Preparations for oral or dental hygiene (incl. denture fixative),24,1483147.92,2953892.3,-0.5,1,Major Rainy Season,0,0
287,2022-07-01,July,3306,Preparations for oral or dental hygiene (incl. denture fixative),30,1821712.1,1483147.92,0.23,0,Major Rainy Season,0,0
288,2022-08-01,August,3306,Preparations for oral or dental hygiene (incl. denture fixative),29,1034687.8200000001,1821712.1,-0.43,1,Major Rainy Season,0,0
289,2022-09-01,September,3306,Preparations for oral or dental hygiene (incl. denture fixative),24,1060136.06,1034687.8200000001,0.02,1,Minor Rainy Season,8,1
290,2022-10-01,October,3306,Preparations for oral or dental hygiene (incl. denture fixative),24,1556255.2599999998,1060136.06,0.47,0,Minor Rainy Season,0,0
291,2022-11-01,November,3306,Preparations for oral or dental hygiene (incl. denture fixative),23,1111558.47,1556255.2599999998,-0.29,0,Minor Rainy Season,0,0
292,2022-12-01,December,3306,Preparations for oral or dental hygiene (incl. denture fixative),24,2368772.19,1111558.47,1.13,1,Harmattan (Dry),9,0
293,2022-01-01,January,3401,"Soap; organic surface-active products in bars, etc; paper with soap,etc",109,2660432.79,2509519.1799999997,0.06,1,Harmattan (Dry),0,1
294,2022-02-01,February,3401,"Soap; organic surface-active products in bars, etc; paper with soap,etc",99,2362738.27,2660432.79,-0.11,0,Harmattan (Dry),1,0
295,2022-03-01,March,3401,"Soap; organic surface-active products in bars, etc; paper with soap,etc",90,3304818.69,2362738.27,0.4,1,Hot/Dry Season,3,0
296,2022-04-01,April,3401,"Soap; organic surface-active products in bars, etc; paper with soap,etc",103,3232074.2199999997,3304818.69,-0.02,1,Major Rainy Season,1,0
297,2022-05-01,May,3401,"Soap; organic surface-active products in bars, etc; paper with soap,etc",88,2910469.76,3232074.2199999997,-0.1,1,Major Rainy Season,1,1
298,2022-06-01,June,3401,"Soap; organic surface-active products in bars, etc; paper with soap,etc",107,4158510.47,2910469.76,0.43,1,Major Rainy Season,0,0
299,2022-07-01,July,3401,"Soap; organic surface-active products in bars, etc; paper with soap,etc",97,2231901.97,4158510.47,-0.46,0,Major Rainy Season,0,0
300,2022-08-01,August,3401,"Soap; organic surface-active products in bars, etc; paper with soap,etc",110,2907943.8,2231901.97,0.3,1,Major Rainy Season,0,0
301,2022-09-01,September,3401,"Soap; organic surface-active products in bars, etc; paper with soap,etc",96,1512179.8199999998,2907943.8,-0.48,1,Minor Rainy Season,8,1
302,2022-10-01,October,3401,"Soap; organic surface-active products in bars, etc; paper with soap,etc",94,1745959.0,1512179.8199999998,0.15,0,Minor Rainy Season,0,0
303,2022-11-01,November,3401,"Soap; organic surface-active products in bars, etc; paper with soap,etc",106,2382360.07,1745959.0,0.36,0,Minor Rainy Season,0,0
304,2022-12-01,December,3401,"Soap; organic surface-active products in bars, etc; paper with soap,etc",97,2509519.1799999997,2382360.07,0.05,1,Harmattan (Dry),9,0
305,2022-01-01,January,3402,"Non-soap surface-active agents; washing preparations, nes",77,9647917.4,3426167.89,1.82,1,Harmattan (Dry),0,1
306,2022-02-01,February,3402,"Non-soap surface-active agents; washing preparations, nes",68,9767113.33,9647917.4,0.01,0,Harmattan (Dry),1,0
307,2022-03-01,March,3402,"Non-soap surface-active agents; washing preparations, nes",69,18469713.53,9767113.33,0.89,1,Hot/Dry Season,3,0
308,2022-04-01,April,3402,"Non-soap surface-active agents; washing preparations, nes",73,11049875.89,18469713.53,-0.4,1,Major Rainy Season,1,0
309,2022-05-01,May,3402,"Non-soap surface-active agents; washing preparations, nes",77,10919822.07,11049875.89,-0.01,1,Major Rainy Season,1,1
310,2022-06-01,June,3402,"Non-soap surface-active agents; washing preparations, nes",90,5486489.4,10919822.07,-0.5,1,Major Rainy Season,0,0
311,2022-07-01,July,3402,"Non-soap surface-active agents; washing preparations, nes",75,4435737.95,5486489.4,-0.19,0,Major Rainy Season,0,0
312,2022-08-01,August,3402,"Non-soap surface-active agents; washing preparations, nes",75,7894988.83,4435737.95,0.78,1,Major Rainy Season,0,0
313,2022-09-01,September,3402,"Non-soap surface-active agents; washing preparations, nes",71,5789575.94,7894988.83,-0.27,1,Minor Rainy Season,8,1
314,2022-10-01,October,3402,"Non-soap surface-active agents; washing preparations, nes",74,2003256.38,5789575.94,-0.65,0,Minor Rainy Season,0,0
315,2022-11-01,November,3402,"Non-soap surface-active agents; washing preparations, nes",66,3725126.6599999997,2003256.38,0.86,0,Minor Rainy Season,0,0
316,2022-12-01,December,3402,"Non-soap surface-active agents; washing preparations, nes",80,3426167.89,3725126.6599999997,-0.08,1,Harmattan (Dry),9,0
